S.No,Employee ID,Description,SAM Account Name,Logon Name,Email Address,First Name,Last Name,Full Name,Display Name,Department,Sub Department,Sub Sub Department,Pager,IP Phone,Notes,Distinguished Name,Office,Title,Mobile,Band,Grade,When Created,When Changed,Domain Name,OU Name,Manager,Rep Mgr Emp ID,Rep Mgr Emp Name,Rep Mgr Emp Email ID,Manager Distinguished Name,DOJ,DOB,Zip Code,City,State/Province,Country,Company,Parent-Company,Account Status,Password Status,Account Expiry Time,Password Expiry Date,SFDC Portal ID,SFDC-HTSORGID,Days since password last set,Password Last Set,Pwd Never Expires Flag,ID Type,O365-E3 Exception
86,09WFTB,Active Directory User,GZPL1_09WFTB,qweeh@company.com,user86@company.com,First86,Last86,First86 Last86,First86 Last86,Operations,SubDept1,SubSubDept2,5146,192.168.1.4,Sample Note,"CN=User86,OU=Dept1",Office2,Engineer,9.19E+11,B4,Senior,24-04-2022,08-06-2023,COMPANY,OrgUnit6,Manager6,A5IVRO,Manager6,manager6@company.com,"CN=Manager6,OU=Dept1",03-05-2020,15-06-2000,729252,Pune,Karnataka,Canada,Bajaj Finserv Direct Limited,Bajaj Group,Inactive,Valid,Never Expires,Never Expires,BFXB4Y4K,7BPGYVYV,287,02-10-2020,Yes,Consultant,No
87,0MB1L6,Vendor Account,EZJSS_0MB1L6,zwd0w@company.com,user87@company.com,First87,Last87,First87 Last87,First87 Last87,IT,SubDept2,SubSubDept0,8924,192.168.1.186,Sample Note,"CN=User87,OU=Dept2",Office3,Consultant,9.18E+11,B4,Junior,03-08-2022,10-08-2023,COMPANY,OrgUnit7,Manager7,LS9MEU,Manager7,manager7@company.com,"CN=Manager7,OU=Dept2",18-03-2022,07-12-1996,616428,Mumbai,West Bengal,USA,Bajaj Housing Finance Limited,Bajaj Group,Inactive,Valid,24-05-2025,Never Expires,AAWE429O,MUWAHK2L,259,04-05-2022,Yes,Vendor,No
88,1ELOU8,Active Directory User,62XRW_1ELOU8,6tm2o@company.com,user88@company.com,First88,Last88,First88 Last88,First88 Last88,IT,SubDept3,SubSubDept1,9537,192.168.1.77,Sample Note,"CN=User88,OU=Dept3",Office0,Consultant,9.20E+11,B3,Senior,12-05-2022,12-04-2022,COMPANY,OrgUnit8,Manager8,AUL62C,Manager8,manager8@company.com,"CN=Manager8,OU=Dept3",19-08-2020,17-07-1989,981578,Pune,Tamil Nadu,Germany,Bajaj Finserv Direct Limited,Bajaj Group,Active,Expired,05-12-2025,13-06-2025,GE2L4ZJD,5N3KSGNB,103,19-11-2023,No,Application,Yes
89,PARSG7,Active Directory User,HBN5E_PARSG7,lb45l@company.com,user89@company.com,First89,Last89,First89 Last89,First89 Last89,IT,SubDept4,SubSubDept2,2689,192.168.1.134,Sample Note,"CN=User89,OU=Dept4",Office1,Executive,9.17E+11,B3,Junior,19-09-2022,17-10-2023,COMPANY,OrgUnit9,Manager9,HHKT1Y,Manager9,manager9@company.com,"CN=Manager9,OU=Dept4",27-02-2021,29-01-1985,265146,Delhi,Maharashtra,India,Vendor Company A,Vendor Group,Active,Valid,Never Expires,Never Expires,TTJ72UGL,6TBB6BND,200,05-10-2020,Yes,Consultant,No
90,WL3ZYT,Active Directory User,DLX1Q_WL3ZYT,8f6jn@company.com,user90@company.com,First90,Last90,First90 Last90,First90 Last90,HR,SubDept0,SubSubDept0,6412,192.168.1.202,Sample Note,"CN=User90,OU=Dept0",Office2,Executive,9.19E+11,B4,Senior,17-02-2020,11-04-2020,COMPANY,OrgUnit0,Manager0,RMQG1V,Manager0,manager0@company.com,"CN=Manager0,OU=Dept0",16-07-2020,13-04-1997,207932,Bangalore,Maharashtra,UK,Bajaj Holding and Investment Limited,Bajaj Group,Active,Expired,18-12-2025,Never Expires,TOOWT9NM,3V2P2TIX,39,22-02-2023,Yes,Employee,No
91,EVLDQL,Active Directory User,LXCHF_EVLDQL,u131x@company.com,user91@company.com,First91,Last91,First91 Last91,First91 Last91,Sales,SubDept1,SubSubDept1,9704,192.168.1.75,Sample Note,"CN=User91,OU=Dept1",Office3,Engineer,9.20E+11,B4,Junior,30-10-2020,15-11-2020,COMPANY,OrgUnit1,Manager1,YLU6K7,Manager1,manager1@company.com,"CN=Manager1,OU=Dept1",06-11-2021,18-09-1991,193624,Chennai,Maharashtra,Canada,Bajaj Finserv Limited,Bajaj Group,Inactive,Valid,11-12-2025,Never Expires,4C68AU9D,KBPVWZOP,108,26-10-2022,Yes,Generic,Yes
92,RGN74F,Active Directory User,F5X9E_RGN74F,e346z@company.com,user92@company.com,First92,Last92,First92 Last92,First92 Last92,Sales,SubDept2,SubSubDept2,3945,192.168.1.117,Sample Note,"CN=User92,OU=Dept2",Office0,Consultant,9.19E+11,B4,Senior,20-08-2021,05-07-2021,COMPANY,OrgUnit2,Manager2,IPAR0Z,Manager2,manager2@company.com,"CN=Manager2,OU=Dept2",22-02-2021,23-12-1993,672696,Chennai,Tamil Nadu,India,Bajaj Finserv Direct Limited,Bajaj Group,Active,Expired,Never Expires,Never Expires,ZERYF099,2QC6DR08,39,28-11-2022,Yes,Application,No
93,W6TAQ6,Active Directory User,GZVK2_W6TAQ6,jwuux@company.com,user93@company.com,First93,Last93,First93 Last93,First93 Last93,Finance,SubDept3,SubSubDept0,1447,192.168.1.74,Sample Note,"CN=User93,OU=Dept3",Office1,Engineer,9.17E+11,B2,Junior,24-02-2022,29-04-2020,COMPANY,OrgUnit3,Manager3,4KEK4A,Manager3,manager3@company.com,"CN=Manager3,OU=Dept3",22-06-2020,18-07-2000,283095,Chennai,Karnataka,Germany,Vendor Company B,Vendor Group,Inactive,Valid,25-05-2025,29-07-2025,JZR25MDF,7FR91IPW,107,16-06-2022,No,Consultant,No
94,BJ3BQR,Active Directory User,RF5A7_BJ3BQR,qy8yb@company.com,user94@company.com,First94,Last94,First94 Last94,First94 Last94,Operations,SubDept4,SubSubDept1,6797,192.168.1.245,Sample Note,"CN=User94,OU=Dept4",Office2,Engineer,9.20E+11,B3,Senior,04-06-2021,23-02-2021,COMPANY,OrgUnit4,Manager4,JDXO10,Manager4,manager4@company.com,"CN=Manager4,OU=Dept4",14-02-2023,12-01-2000,907924,Mumbai,West Bengal,UK,Bajaj Holding and Investment Limited,Bajaj Group,Active,Expired,10-12-2025,24-04-2025,TY3ADDQH,KGAD7X48,326,08-07-2020,No,Employee,Yes
95,DVN1X2,Active Directory User,Q7W7J_DVN1X2,p61lf@company.com,user95@company.com,First95,Last95,First95 Last95,First95 Last95,IT,SubDept0,SubSubDept2,5543,192.168.1.199,Sample Note,"CN=User95,OU=Dept0",Office3,Manager,9.19E+11,B4,Junior,31-05-2021,03-04-2020,COMPANY,OrgUnit5,Manager5,J3GC9H,Manager5,manager5@company.com,"CN=Manager5,OU=Dept0",01-09-2021,26-01-1986,776838,Bangalore,Maharashtra,USA,Bajaj Finserv Direct Limited,Bajaj Group,Inactive,Valid,04-05-2025,Never Expires,WDPJBC01,ARXABOFL,200,11-06-2022,Yes,Generic,Yes
96,S7RP42,Active Directory User,ET9MK_S7RP42,b9xn4@company.com,user96@company.com,First96,Last96,First96 Last96,First96 Last96,Finance,SubDept1,SubSubDept0,2318,192.168.1.216,Sample Note,"CN=User96,OU=Dept1",Office0,Engineer,9.18E+11,B2,Senior,01-10-2020,11-05-2022,COMPANY,OrgUnit6,Manager6,BNGZ6W,Manager6,manager6@company.com,"CN=Manager6,OU=Dept1",12-07-2021,21-07-1996,188984,Bangalore,Karnataka,USA,Bajaj Housing Finance Limited,Bajaj Group,Active,Valid,10-07-2025,Never Expires,A9IN2XR8,38AMMZOH,334,02-11-2022,Yes,Employee,No
97,75T0IC,Vendor Account,IXAW6_75T0IC,3dw4c@company.com,user97@company.com,First97,Last97,First97 Last97,First97 Last97,IT,SubDept2,SubSubDept1,2870,192.168.1.128,Sample Note,"CN=User97,OU=Dept2",Office1,Consultant,9.20E+11,B2,Junior,08-04-2020,03-06-2023,COMPANY,OrgUnit7,Manager7,HM40OE,Manager7,manager7@company.com,"CN=Manager7,OU=Dept2",28-11-2022,06-08-1999,672401,Mumbai,Tamil Nadu,USA,Bajaj Finserv Direct Limited,Bajaj Group,Active,Valid,Never Expires,Never Expires,MEFOZTP7,BD4W1ARA,91,09-12-2023,Yes,Vendor,Yes
98,ZVKY2R,Active Directory User,O7VBG_ZVKY2R,r8w2m@company.com,user98@company.com,First98,Last98,First98 Last98,First98 Last98,IT,SubDept3,SubSubDept2,4860,192.168.1.50,Sample Note,"CN=User98,OU=Dept3",Office2,Manager,9.19E+11,B1,Senior,19-08-2022,16-07-2021,COMPANY,OrgUnit8,Manager8,59SQWH,Manager8,manager8@company.com,"CN=Manager8,OU=Dept3",23-03-2020,04-08-1986,218152,Mumbai,Delhi,Germany,Bajaj Finserv Direct Limited,Bajaj Group,Active,Valid,19-09-2025,09-03-2025,YBXKPM21,B07G2RE6,227,09-07-2022,No,Application,No
99,P06IDI,-,QR6F7_P06IDI,qnezw@company.com,user99@company.com,First99,Last99,First99 Last99,First99 Last99,Finance,SubDept4,SubSubDept0,4313,192.168.1.86,Sample Note,"CN=User99,OU=Dept4",Office3,Senior Analyst,9.17E+11,B1,Junior,11-03-2021,31-07-2020,COMPANY,OrgUnit9,Manager9,DQP1HK,Manager9,manager9@company.com,"CN=Manager9,OU=Dept4",31-08-2020,21-10-2000,278190,Chennai,West Bengal,USA,Bajaj Finserv Health Limited,Bajaj Group,Active,Expired,Never Expires,07-04-2025,4R9V4K00,ILU6VFUA,22,03-03-2020,No,Vendor,No
100,0SPO3Z,Vendor Account,YOHMI_0SPO3Z,9ayfq@company.com,user100@company.com,First100,Last100,First100 Last100,First100 Last100,Operations,SubDept0,SubSubDept1,1399,192.168.1.250,Sample Note,"CN=User100,OU=Dept0",Office0,Engineer,9.19E+11,B2,Senior,20-09-2023,28-12-2022,COMPANY,OrgUnit0,Manager0,O2NQW4,Manager0,manager0@company.com,"CN=Manager0,OU=Dept0",19-04-2020,04-02-1993,824304,Delhi,West Bengal,India,Bajaj Housing Finance Limited,Bajaj Group,Inactive,Expired,Never Expires,Never Expires,1ZWUHYWM,7S6NBNQB,187,29-09-2020,Yes,Vendor,Yes
